溯源批次码,作物名称,生产省份,生产县区,基地经度,基地纬度,种植日期,全流程农事操作记录,采摘完成时刻,采摘重量(kg),加工中心,加工厂经纬度,加工具体工序,加工开始时刻,加工结束时刻,存储仓库ID,仓库类型,入库时刻,出库时刻,仓储温湿度环境,物流运单号,运输车辆类型,物流作业要求,发货起运时刻,终端签收时刻,销售城市,销售区县网点,网点经度,网点纬度,终端上架时刻
CN-AG-202410-10010,玉米,辽宁省,昌图县,124.109421,42.734645,2024-06-22,2024-06-22 [免耕直播] -> 2024-07-14 [苗期中耕] -> 2024-08-05 [喇叭口期追肥] -> 2024-08-27 [大斑病防治] -> 2024-09-18 [人工授粉辅助],2024-10-12 14:26,9906.38,昌图县第2深加工基地,"124.118186,42.770688",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-13 16:26,2024-10-13 19:27,WH-CN-385,现代化圆筒仓,2024-10-14 05:27,2024-11-14 05:27,避光控温控制,LOG-CN-42051743509,重型散粮卡车,"通风良好, 严控高温",2024-11-14 14:27,2024-11-16 15:01,上海市,浦东新区,121.54,31.22,2024-11-18 15:01
CN-AG-202409-10011,大豆,吉林省,公主岭市,124.839503,43.491054,2024-05-05,2024-05-05 [拌种包衣] -> 2024-05-30 [等距点播] -> 2024-06-24 [结荚期根外追肥] -> 2024-07-19 [食心虫绿色防控] -> 2024-08-13 [除草中耕],2024-09-02 16:53,5075.44,公主岭市第4深加工基地,"124.820401,43.516234",磁选->破碎压胚->高温压榨->物理过滤->精炼,2024-09-03 19:53,2024-09-03 23:48,WH-CN-371,不锈钢储油罐区,2024-09-04 09:48,2024-10-15 09:48,准低温低氧控制,LOG-CN-73501647053,罐式车,"避光, 控温25℃下",2024-10-15 21:48,2024-10-17 04:58,西安市,雁塔区,108.94,34.21,2024-10-19 04:58
CN-AG-202410-10012,玉米,河南省,滑县,114.482183,35.575605,2024-06-19,2024-06-19 [免耕直播] -> 2024-07-11 [苗期中耕] -> 2024-08-02 [喇叭口期追肥] -> 2024-08-24 [大斑病防治] -> 2024-09-15 [人工授粉辅助],2024-10-05 11:18,37178.55,滑县第5深加工基地,"114.525503,35.579392",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-06 17:18,2024-10-07 02:04,WH-CN-261,现代化圆筒仓,2024-10-07 14:04,2024-10-20 14:04,避光控温控制,LOG-CN-20771041378,重型散粮卡车,"通风良好, 严控高温",2024-10-20 20:04,2024-10-24 22:34,武汉市,洪山区,114.34,30.5,2024-10-27 22:34
CN-AG-202406-10013,小麦,新疆维吾尔自治区,奇台县,89.637379,44.07274,2023-11-09,2023-11-09 [深耕整地] -> 2023-12-17 [秋播种子处理] -> 2024-01-24 [越冬水灌溉] -> 2024-03-02 [拔节期追肥] -> 2024-04-09 [条锈病防治] -> 2024-05-17 [干热风防护],2024-06-22 11:25,37714.72,奇台县第2深加工基地,"89.598437,44.021958",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-24 17:25,2024-06-25 00:59,WH-CN-785,钢板筒仓,2024-06-25 04:59,2024-08-13 04:59,准低温低氧控制,LOG-CN-56025693325,全封闭货车,"干燥, 禁止异味混载",2024-08-13 19:59,2024-08-17 20:32,上海市,闵行区,121.38,31.11,2024-08-19 20:32
CN-AG-202406-10014,小麦,甘肃省,永昌县,101.933518,38.190619,2023-10-19,2023-10-19 [深耕整地] -> 2023-11-26 [秋播种子处理] -> 2024-01-03 [越冬水灌溉] -> 2024-02-10 [拔节期追肥] -> 2024-03-19 [条锈病防治] -> 2024-04-26 [干热风防护],2024-06-05 12:29,35830.25,永昌县第2深加工基地,"101.966507,38.230905",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-06 14:29,2024-06-06 20:53,WH-CN-478,钢板筒仓,2024-06-07 01:53,2024-06-21 01:53,准低温低氧控制,LOG-CN-32698848018,全封闭货车,"干燥, 禁止异味混载",2024-06-21 11:53,2024-06-23 04:52,深圳市,宝安区,113.88,22.55,2024-06-25 04:52
CN-AG-202408-10015,花生,江苏省,东海县,118.742562,34.526641,2024-04-19,2024-04-19 [清棵蹲苗] -> 2024-05-13 [培土迎葑] -> 2024-06-06 [钙镁肥补充] -> 2024-06-30 [下针期控旺] -> 2024-07-24 [地下虫害防治],2024-08-22 16:19,17000.81,东海县第3深加工基地,"118.767135,34.546575",剥壳分选->烘炒->压榨提取->物理精炼,2024-08-23 19:19,2024-08-24 00:04,WH-CN-617,避光库房,2024-08-24 05:04,2024-09-09 05:04,避光控温控制,LOG-CN-46457966688,厢式货车,避光防潮,2024-09-09 15:04,2024-09-13 20:17,广州市,白云区,113.27,23.15,2024-09-16 20:17
CN-AG-202410-10016,玉米,吉林省,榆树市,126.555124,44.793712,2024-07-14,2024-07-14 [免耕直播] -> 2024-08-05 [苗期中耕] -> 2024-08-27 [喇叭口期追肥] -> 2024-09-18 [大斑病防治] -> 2024-10-10 [人工授粉辅助],2024-10-27 12:02,7633.54,榆树市第2深加工基地,"126.556044,44.812818",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-30 15:02,2024-10-30 22:58,WH-CN-658,现代化圆筒仓,2024-10-31 06:58,2024-11-20 06:58,避光控温控制,LOG-CN-88895181912,重型散粮卡车,"通风良好, 严控高温",2024-11-20 18:58,2024-11-24 17:58,西安市,长安区,108.87,34.15,2024-11-25 17:58
CN-AG-202405-10017,油菜籽,湖北省,钟祥市,112.638426,31.118946,2023-10-08,2023-10-08 [育苗移栽] -> 2023-11-29 [越冬防冻肥] -> 2024-01-20 [薹期水肥调节] -> 2024-03-12 [菌核病无人机防治],2024-05-05 08:19,37401.73,钟祥市第2深加工基地,"112.573974,31.175445",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-06 12:19,2024-05-06 16:36,WH-CN-985,恒温罐区,2024-05-06 23:36,2024-05-22 23:36,避光控温控制,LOG-CN-11770791023,罐式车,"避光, 防氧化",2024-05-23 11:36,2024-05-27 19:23,武汉市,东西湖区,114.13,30.62,2024-05-28 19:23
CN-AG-202407-10018,大麦,新疆维吾尔自治区,奇台县,89.627855,43.960663,2024-04-20,2024-04-20 [翻耕播种] -> 2024-05-15 [分蘖期施氮] -> 2024-06-09 [化学除草] -> 2024-07-04 [灌浆期监控],2024-07-26 11:17,12802.32,奇台县第2深加工基地,"89.59458,44.024137",杂质清理->脱壳处理->分级磨皮->包装,2024-07-27 16:17,2024-07-28 02:13,WH-CN-508,平房仓,2024-07-28 06:13,2024-09-06 06:13,避光控温控制,LOG-CN-45769612716,散装车,防霉通风,2024-09-06 19:13,2024-09-09 15:32,深圳市,福田区,114.05,22.54,2024-09-10 15:32
CN-AG-202409-10019,大豆,吉林省,公主岭市,124.768885,43.552552,2024-05-14,2024-05-14 [拌种包衣] -> 2024-06-08 [等距点播] -> 2024-07-03 [结荚期根外追肥] -> 2024-07-28 [食心虫绿色防控] -> 2024-08-22 [除草中耕],2024-09-21 16:25,30499.08,公主岭市第3深加工基地,"124.812317,43.517169",磁选->破碎压胚->高温压榨->物理过滤->精炼,2024-09-24 18:25,2024-09-24 21:54,WH-CN-546,不锈钢储油罐区,2024-09-25 05:54,2024-10-16 05:54,准低温低氧控制,LOG-CN-25081447213,罐式车,"避光, 控温25℃下",2024-10-16 12:54,2024-10-20 17:21,成都市,武侯区,104.04,30.64,2024-10-22 17:21
CN-AG-202406-10020,小麦,河北省,藁城区,114.854796,38.073572,2023-10-13,2023-10-13 [深耕整地] -> 2023-11-20 [秋播种子处理] -> 2023-12-28 [越冬水灌溉] -> 2024-02-04 [拔节期追肥] -> 2024-03-13 [条锈病防治] -> 2024-04-20 [干热风防护],2024-06-02 14:00,22749.29,藁城区第4深加工基地,"114.831271,38.026618",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-04 18:00,2024-06-05 00:10,WH-CN-434,钢板筒仓,2024-06-05 05:10,2024-07-06 05:10,准低温低氧控制,LOG-CN-84284273440,全封闭货车,"干燥, 禁止异味混载",2024-07-06 12:10,2024-07-11 09:07,武汉市,东西湖区,114.13,30.62,2024-07-13 09:07
CN-AG-202409-10021,花生,辽宁省,黑山县,122.099022,41.667318,2024-05-28,2024-05-28 [清棵蹲苗] -> 2024-06-21 [培土迎葑] -> 2024-07-15 [钙镁肥补充] -> 2024-08-08 [下针期控旺] -> 2024-09-01 [地下虫害防治],2024-09-22 14:43,27914.7,黑山县第4深加工基地,"122.122751,41.694592",剥壳分选->烘炒->压榨提取->物理精炼,2024-09-25 19:43,2024-09-26 02:53,WH-CN-552,避光库房,2024-09-26 06:53,2024-10-25 06:53,避光控温控制,LOG-CN-79637317274,厢式货车,避光防潮,2024-10-25 18:53,2024-10-30 23:30,成都市,武侯区,104.04,30.64,2024-11-02 23:30
CN-AG-202409-10022,水稻,安徽省,寿县,116.776666,32.616466,2024-04-18,2024-04-18 [播种育秧] -> 2024-05-11 [田间底肥] -> 2024-06-03 [插秧作业] -> 2024-06-26 [分蘖期灌溉] -> 2024-07-19 [除草控虫] -> 2024-08-11 [晒田补肥],2024-09-10 16:42,39437.76,寿县第5深加工基地,"116.784265,32.562392",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-09-13 18:42,2024-09-14 04:11,WH-CN-970,平房仓(准低温),2024-09-14 11:11,2024-10-13 11:11,准低温低氧控制,LOG-CN-21890571177,散粮车,"防潮, 湿度<14%",2024-10-13 19:11,2024-10-14 22:13,深圳市,福田区,114.05,22.54,2024-10-15 22:13
CN-AG-202409-10023,水稻,江苏省,射阳县,120.257353,33.781294,2024-05-05,2024-05-05 [播种育秧] -> 2024-05-28 [田间底肥] -> 2024-06-20 [插秧作业] -> 2024-07-13 [分蘖期灌溉] -> 2024-08-05 [除草控虫] -> 2024-08-28 [晒田补肥],2024-09-23 14:31,21259.25,射阳县第5深加工基地,"120.249876,33.755419",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-09-25 17:31,2024-09-26 01:36,WH-CN-355,平房仓(准低温),2024-09-26 05:36,2024-10-12 05:36,准低温低氧控制,LOG-CN-70650773366,散粮车,"防潮, 湿度<14%",2024-10-12 13:36,2024-10-17 20:20,南京市,玄武区,118.79,32.06,2024-10-20 20:20
CN-AG-202410-10024,玉米,辽宁省,黑山县,122.111305,41.692728,2024-07-04,2024-07-04 [免耕直播] -> 2024-07-26 [苗期中耕] -> 2024-08-17 [喇叭口期追肥] -> 2024-09-08 [大斑病防治] -> 2024-09-30 [人工授粉辅助],2024-10-25 15:39,21960.9,黑山县第2深加工基地,"122.112158,41.680508",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-29 21:39,2024-10-30 03:57,WH-CN-381,现代化圆筒仓,2024-10-30 09:57,2024-12-09 09:57,避光控温控制,LOG-CN-20479173015,重型散粮卡车,"通风良好, 严控高温",2024-12-09 18:57,2024-12-14 04:14,西安市,未央区,108.94,34.29,2024-12-17 04:14
CN-AG-202406-10025,小麦,河南省,滑县,114.536369,35.513772,2023-10-22,2023-10-22 [深耕整地] -> 2023-11-29 [秋播种子处理] -> 2024-01-06 [越冬水灌溉] -> 2024-02-13 [拔节期追肥] -> 2024-03-22 [条锈病防治] -> 2024-04-29 [干热风防护],2024-06-11 13:57,16580.85,滑县第4深加工基地,"114.520171,35.566287",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-12 16:57,2024-06-12 20:44,WH-CN-525,钢板筒仓,2024-06-13 03:44,2024-07-17 03:44,准低温低氧控制,LOG-CN-36037232988,全封闭货车,"干燥, 禁止异味混载",2024-07-17 12:44,2024-07-18 21:10,广州市,番禺区,113.38,22.93,2024-07-20 21:10
CN-AG-202406-10026,小麦,河北省,大名县,115.119915,36.328908,2023-11-09,2023-11-09 [深耕整地] -> 2023-12-17 [秋播种子处理] -> 2024-01-24 [越冬水灌溉] -> 2024-03-02 [拔节期追肥] -> 2024-04-09 [条锈病防治] -> 2024-05-17 [干热风防护],2024-06-28 17:24,6015.87,大名县第3深加工基地,"115.155111,36.278208",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-29 21:24,2024-06-30 02:26,WH-CN-784,钢板筒仓,2024-06-30 12:26,2024-08-05 12:26,准低温低氧控制,LOG-CN-85687017337,全封闭货车,"干燥, 禁止异味混载",2024-08-05 21:26,2024-08-08 07:53,深圳市,南山区,113.93,22.54,2024-08-10 07:53
CN-AG-202409-10027,大豆,黑龙江省,富锦市,131.979238,47.217456,2024-04-29,2024-04-29 [拌种包衣] -> 2024-05-24 [等距点播] -> 2024-06-18 [结荚期根外追肥] -> 2024-07-13 [食心虫绿色防控] -> 2024-08-07 [除草中耕],2024-09-03 14:08,14738.98,富锦市第4深加工基地,"132.023224,47.245795",磁选->破碎压胚->高温压榨->物理过滤->精炼,2024-09-05 16:08,2024-09-05 20:51,WH-CN-358,不锈钢储油罐区,2024-09-06 06:51,2024-10-06 06:51,准低温低氧控制,LOG-CN-22175849680,罐式车,"避光, 控温25℃下",2024-10-06 17:51,2024-10-09 13:39,深圳市,南山区,113.93,22.54,2024-10-11 13:39
CN-AG-202409-10028,水稻,安徽省,寿县,116.816974,32.621564,2024-04-29,2024-04-29 [播种育秧] -> 2024-05-22 [田间底肥] -> 2024-06-14 [插秧作业] -> 2024-07-07 [分蘖期灌溉] -> 2024-07-30 [除草控虫] -> 2024-08-22 [晒田补肥],2024-09-12 11:41,24738.94,寿县第2深加工基地,"116.787429,32.572668",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-09-13 13:41,2024-09-13 18:17,WH-CN-576,平房仓(准低温),2024-09-14 01:17,2024-09-25 01:17,准低温低氧控制,LOG-CN-47363917552,散粮车,"防潮, 湿度<14%",2024-09-25 09:17,2024-09-28 21:59,广州市,天河区,113.33,23.13,2024-09-29 21:59
CN-AG-202409-10029,玉米,山东省,汶上县,116.442388,35.766441,2024-06-11,2024-06-11 [免耕直播] -> 2024-07-03 [苗期中耕] -> 2024-07-25 [喇叭口期追肥] -> 2024-08-16 [大斑病防治] -> 2024-09-07 [人工授粉辅助],2024-09-25 10:19,13499.73,汶上县第3深加工基地,"116.480787,35.737851",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-26 14:19,2024-09-26 21:43,WH-CN-970,现代化圆筒仓,2024-09-27 07:43,2024-11-01 07:43,避光控温控制,LOG-CN-94543248820,重型散粮卡车,"通风良好, 严控高温",2024-11-01 22:43,2024-11-06 15:36,深圳市,福田区,114.05,22.54,2024-11-09 15:36
CN-AG-202410-10030,水稻,辽宁省,盘山县,122.087531,41.276893,2024-05-31,2024-05-31 [播种育秧] -> 2024-06-23 [田间底肥] -> 2024-07-16 [插秧作业] -> 2024-08-08 [分蘖期灌溉] -> 2024-08-31 [除草控虫] -> 2024-09-23 [晒田补肥],2024-10-18 14:42,36205.13,盘山县第4深加工基地,"122.032201,41.23636",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-19 20:42,2024-10-20 04:43,WH-CN-824,平房仓(准低温),2024-10-20 13:43,2024-10-30 13:43,准低温低氧控制,LOG-CN-66491666830,散粮车,"防潮, 湿度<14%",2024-10-30 20:43,2024-11-03 04:06,南京市,江宁区,118.83,31.95,2024-11-06 04:06
CN-AG-202407-10031,大麦,新疆维吾尔自治区,奇台县,89.581253,43.987352,2024-04-02,2024-04-02 [翻耕播种] -> 2024-04-27 [分蘖期施氮] -> 2024-05-22 [化学除草] -> 2024-06-16 [灌浆期监控],2024-07-15 14:52,26361.61,奇台县第4深加工基地,"89.597215,44.02636",杂质清理->脱壳处理->分级磨皮->包装,2024-07-18 18:52,2024-07-19 04:38,WH-CN-444,平房仓,2024-07-19 11:38,2024-08-03 11:38,避光控温控制,LOG-CN-74547774977,散装车,防霉通风,2024-08-03 20:38,2024-08-08 21:07,成都市,龙泉驿区,104.27,30.55,2024-08-11 21:07
CN-AG-202406-10032,小麦,河南省,唐河县,112.83129,32.620834,2023-10-22,2023-10-22 [深耕整地] -> 2023-11-29 [秋播种子处理] -> 2024-01-06 [越冬水灌溉] -> 2024-02-13 [拔节期追肥] -> 2024-03-22 [条锈病防治] -> 2024-04-29 [干热风防护],2024-06-07 13:51,19224.98,唐河县第5深加工基地,"112.824442,32.678348",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-10 17:51,2024-06-11 03:51,WH-CN-876,钢板筒仓,2024-06-11 11:51,2024-07-26 11:51,准低温低氧控制,LOG-CN-97944150250,全封闭货车,"干燥, 禁止异味混载",2024-07-26 20:51,2024-07-28 07:06,北京市,丰台区,116.28,39.85,2024-07-31 07:06
CN-AG-202409-10033,玉米,安徽省,蒙城县,116.540514,33.214384,2024-05-15,2024-05-15 [免耕直播] -> 2024-06-06 [苗期中耕] -> 2024-06-28 [喇叭口期追肥] -> 2024-07-20 [大斑病防治] -> 2024-08-11 [人工授粉辅助],2024-09-03 12:14,20881.08,蒙城县第3深加工基地,"116.556464,33.268858",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-05 16:14,2024-09-06 00:23,WH-CN-357,现代化圆筒仓,2024-09-06 09:23,2024-10-16 09:23,避光控温控制,LOG-CN-23875055243,重型散粮卡车,"通风良好, 严控高温",2024-10-16 23:23,2024-10-19 17:45,武汉市,江岸区,114.3,30.59,2024-10-22 17:45
CN-AG-202409-10034,玉米,内蒙古自治区,阿荣旗,123.534362,48.122255,2024-06-09,2024-06-09 [免耕直播] -> 2024-07-01 [苗期中耕] -> 2024-07-23 [喇叭口期追肥] -> 2024-08-14 [大斑病防治] -> 2024-09-05 [人工授粉辅助],2024-09-24 16:48,11280.45,阿荣旗第1深加工基地,"123.519436,48.117273",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-26 19:48,2024-09-27 04:36,WH-CN-825,现代化圆筒仓,2024-09-27 15:36,2024-10-24 15:36,避光控温控制,LOG-CN-29473961937,重型散粮卡车,"通风良好, 严控高温",2024-10-25 00:36,2024-10-27 13:50,成都市,武侯区,104.04,30.64,2024-10-29 13:50
CN-AG-202410-10035,棉花,甘肃省,瓜州县,95.740214,40.565494,2024-04-24,2024-04-24 [覆膜播种] -> 2024-05-30 [人工打顶] -> 2024-07-05 [叶面喷施补硼] -> 2024-08-10 [枯萎病监测] -> 2024-09-15 [喷施脱叶剂],2024-10-18 12:44,38792.42,瓜州县第3深加工基地,"95.766018,40.509945",皮棉清理->锯齿轧花->纤维分级->压力打包,2024-10-22 14:44,2024-10-23 00:40,WH-CN-982,专业纤维库,2024-10-23 04:40,2024-12-08 04:40,避光控温控制,LOG-CN-24936733140,高栏平板车,"严禁烟火, 防静电, 干燥",2024-12-08 17:40,2024-12-12 02:01,成都市,龙泉驿区,104.27,30.55,2024-12-13 02:01
CN-AG-202409-10036,大豆,吉林省,公主岭市,124.764426,43.494181,2024-04-26,2024-04-26 [拌种包衣] -> 2024-05-21 [等距点播] -> 2024-06-15 [结荚期根外追肥] -> 2024-07-10 [食心虫绿色防控] -> 2024-08-04 [除草中耕],2024-09-03 17:40,25864.44,公主岭市第5深加工基地,"124.820054,43.522191",磁选->破碎压胚->高温压榨->物理过滤->精炼,2024-09-04 20:40,2024-09-05 00:26,WH-CN-331,不锈钢储油罐区,2024-09-05 08:26,2024-09-20 08:26,准低温低氧控制,LOG-CN-82051055121,罐式车,"避光, 控温25℃下",2024-09-20 22:26,2024-09-25 23:52,深圳市,福田区,114.05,22.54,2024-09-28 23:52
CN-AG-202410-10037,玉米,河北省,藁城区,114.813438,37.976177,2024-06-23,2024-06-23 [免耕直播] -> 2024-07-15 [苗期中耕] -> 2024-08-06 [喇叭口期追肥] -> 2024-08-28 [大斑病防治] -> 2024-09-19 [人工授粉辅助],2024-10-10 17:27,24319.73,藁城区第2深加工基地,"114.834791,38.038165",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-11 23:27,2024-10-12 08:15,WH-CN-102,现代化圆筒仓,2024-10-12 13:15,2024-11-04 13:15,避光控温控制,LOG-CN-71884111757,重型散粮卡车,"通风良好, 严控高温",2024-11-04 20:15,2024-11-06 16:30,深圳市,南山区,113.93,22.54,2024-11-07 16:30
